Region,Country,AvgRating,AvgPrice,AvgAge,AvgNrRatings,HistColumn,HistX
Europe,Moldova,4.1625,28.855,-4.125,693.625,2,4.2
Africa,Lebanon,4.16,37.2086666666667,-15.3333333333333,2262.8,1,4.2
Europe,Georgia,4.14,21.526,-5.40000000000009,124.4,2,4.1
Europe,Croatia,4.1,21.4,-5.5,95,1,4.1
North America,United States,3.9524064171123,52.6321390374332,-5.54423592493299,969.786096256684,1,4.0
Europe,France,3.93515070921986,63.1637322695031,-7.45144124168519,293.161790780142,4,3.9
Europe,Italy,3.92445283018868,35.5333283018866,-5.87377173091454,402.509811320755,3,3.9
Europe,Portugal,3.89434782608696,20.2092608695652,-5.7782608695652,470.091304347826,2,3.9
Africa,South Africa,3.86,21.63562,-5.11623246492991,258.694,1,3.9
Oceania,Australia,3.84308943089431,41.0084146341463,-5.2479674796748,392.544715447154,13,3.8
Europe,Switzerland,3.84166666666667,33.9041666666667,-4.41666666666674,77.9166666666667,12,3.8
Europe,Spain,3.84001751313486,25.696541155867,-6.32399299474605,524.211033274956,11,3.8
South America,Argentina,3.82926829268293,22.3740243902439,-4.63008130081312,907.524390243902,10,3.8
Asia,Israel,3.80769230769231,18.6346153846154,-3.69230769230762,158.846153846154,9,3.8
Europe,Bulgaria,3.8,10.15,-5.5,449,8,3.8
Europe,Slovakia,3.8,19.9,-6,28,7,3.8
Asia,Turkey,3.8,18.6,-5.16666666666674,100.166666666667,6,3.8
Europe,Austria,3.79954545454546,21.4996818181818,-4.99545454545455,124.904545454545,5,3.8
Europe,Greece,3.79230769230769,17.99,-6.76923076923072,188.923076923077,4,3.8
Europe,Germany,3.78709677419355,22.1881048387097,-5.62903225806463,73.7137096774194,3,3.8
South America,Chile,3.76932515337423,21.4928834355828,-4.95076923076931,643.947852760736,2,3.8
Europe,Romania,3.75652173913043,14.5,-5.73913043478251,139.391304347826,1,3.8
Oceania,New Zealand,3.74761904761905,29.038253968254,-4.98412698412699,261.904761904762,3,3.7
South America,Uruguay,3.73333333333333,13.89,-5,190,2,3.7
Europe,Hungary,3.65555555555556,14.6355555555556,-5.88888888888891,96.8888888888889,1,3.7
Europe,Slovenia,3.5375,11.905,-5.75,141.125,2,3.5
South America,Brazil,3.5025,18.703,-8.625,553.525,1,3.5
North America,Mexico,3.4,8.65,-8,1066,1,3.4
North America,Canada,3.3,14.95,-5,48,1,3.3
Asia,China,2.9,35,-5,235,1,2.9
